Layer,0_inputs,0_inputs,0_inputs,1_classifier,2_embedding,2_embedding,3_covarince
Column,idx,labelled,label,score,emb_0,emb_1,covariance
AFM_0002,2,1,0,0.467625385315186,0.39351195,0.22500739,-6.373834571249404e-09
AFM_0018,18,1,3,0.4936852255356745,0.66835296,0.40585595,1.1971208913053033e-08
AFM_0004,4,1,0,0.4971094122992888,0.67530113,0.41739067,0.2468957379715021
AFM_0015,15,1,3,0.5123441630924778,0.87083167,0.57770026,3.9881453695045366e-08
AFM_0017,17,1,3,0.5179845025719212,0.83664393,0.550178,0.08764461427131964
AFM_0016,16,1,3,0.520405887520458,0.82272154,0.57814896,3.96030513938328e-08
AFM_0019,19,1,3,0.5207237272480258,0.8302451,0.59211624,0.03858811690896635
AFM_0000,0,1,0,0.5215617790031692,0.7255804,0.5701515,-2.8664908224840246e-09
AFM_0012,12,1,2,0.5217443274037232,0.7738836,0.5624523,1.6606002350982862e-08
AFM_0013,13,1,2,0.523274574351242,0.7501566,0.56902677,1.1803794797149436e-07
AFM_0011,11,1,2,0.5233852658434628,0.7233531,0.5745838,1.8744293894812358e-08
AFM_0010,10,1,2,0.5236878840039625,0.7621691,0.5725867,4.171534173647018e-08
AFM_0003,3,1,0,0.5241399993679411,0.7292627,0.60091305,-4.35870473047828e-08
AFM_0014,14,1,2,0.5242486340402724,0.7610859,0.586648,0.03285213985044988
AFM_0008,8,1,1,0.5245709385704843,0.6980653,0.59732646,8.101382109604316e-08
AFM_0001,1,1,0,0.5246087100659735,0.67501694,0.59134096,0.06950090725962266
AFM_0007,7,1,1,0.5246466995149014,0.7227671,0.60758704,3.699839556947637e-08
AFM_0005,5,1,1,0.5246825880178742,0.7267591,0.6225383,-1.5099397288054206e-08
AFM_0006,6,1,1,0.5247463429070833,0.7357483,0.6056209,0.03590785075905034
AFM_0009,9,1,1,0.5253161258872842,0.68344414,0.6229936,5.096103827817444e-08
