Layer,0_inputs,0_inputs,0_inputs,1_classifier,2_embedding,2_embedding,3_covarince
Column,idx,labelled,label,score,emb_0,emb_1,covariance
AFM_0002,2,1,0,0.30590781286086133,-1.235872e-08,-0.0014593757,1.1175870895385742e-08
AFM_0018,18,0,,0.4874642733683914,-0.000104881474,-0.00087456335,0.9999993526185809
AFM_0004,4,1,0,0.4875937419555345,-0.00065387686,0.00028826215,0.9999961236051201
AFM_0015,15,0,,0.49508608441951996,0.012843389,0.11792911,0.9928528968572641
AFM_0017,17,0,,0.5130032793977329,0.14632931,0.34566227,0.9350147047776742
AFM_0016,16,0,,0.5321920977567086,0.21753794,0.5644118,0.8383639409378717
AFM_0019,19,0,,0.5381474040545176,0.25633198,0.5935091,0.8125532134321021
AFM_0001,1,1,0,0.5455447108512788,0.5701627,0.32648215,0.7644138106453241
AFM_0011,11,1,2,0.5527750885567847,0.29726967,0.8908847,0.6334000021363997
AFM_0012,12,1,2,0.558366265703197,-0.17704144,1.0959938,1.0048048504351925e-08
AFM_0008,8,1,1,0.5606412213728902,0.6576177,0.06689072,1.0050268506311966e-08
AFM_0000,0,1,0,0.5610626881075229,0.2605495,0.5660432,7.141018443235225e-09
AFM_0006,6,1,1,0.5724561487887561,0.7544344,0.5233705,0.5063190033798046
AFM_0014,14,0,,0.5724862511372688,0.6675457,0.94707257,0.4863566728286084
AFM_0005,5,1,1,0.574980561283809,0.8022851,0.35192487,1.0203405675923705e-08
AFM_0009,9,1,1,0.5756616997993195,1.0680552,-0.12425043,1.0262379612768768e-08
AFM_0013,13,1,2,0.5764739471920316,0.9004141,1.1689153,9.809558720874634e-09
AFM_0003,3,1,0,0.5786031172668925,0.6104391,0.7358574,1.1093129081984898e-08
AFM_0010,10,1,2,0.5809895382368108,0.519239,1.4503019,1.0601611699634361e-08
AFM_0007,7,1,1,0.5865650264179662,0.84518075,1.2867234,1.0087050639207007e-08
